source_file,year,language,registration_number,registration_date,special_marks,stage_number,stage_title,stage_start,stage_end,report_type,performer_name,performer_edrpou,performer_location,performer_ministry,performer_phone,co_performers,customer_name,customer_edrpou,customer_location,customer_ministry,customer_phone,legal_basis,funding_direction,funding_sources,budget_code,funding_amount_kgrn,funding_amount_usd,funding_amount_eur,title_uk,title_en,abstract_uk,abstract_en,udc_index,thematic_codes,pi_name,pi_degree,pi_title,pi_orcid,additional_info,ntp_title_uk,ntp_title_en,ntp_planned,ntp_failure_reasons,ntp_results,ntp_application_field,ntp_card_number,ntp_description,ntp_socioeconomic,ntp_environment,ntp_implementation,ntp_consumers,ntp_markets,ntp_invest_amount_kgrn,ntp_investor_rights,ntp_business_plan,ntp_techno_economic_basis,ntp_sales_amount_kgrn,ntp_payback_years,bibliography,org_head,executors,lang_stage_title,lang_special_marks,lang_report_type,lang_performer_name,lang_performer_location,lang_performer_ministry,lang_co_performers,lang_customer_name,lang_customer_location,lang_customer_ministry,lang_legal_basis,lang_funding_direction,lang_funding_sources,lang_title_uk,lang_title_en,lang_abstract_uk,lang_abstract_en,lang_pi_name,lang_pi_degree,lang_pi_title,lang_additional_info,lang_ntp_title_uk,lang_ntp_title_en,lang_ntp_planned,lang_ntp_failure_reasons,lang_ntp_results,lang_ntp_application_field,lang_ntp_description,lang_ntp_socioeconomic,lang_ntp_environment,lang_ntp_implementation,lang_ntp_consumers,lang_ntp_markets,lang_ntp_investor_rights,lang_ntp_business_plan,lang_ntp_techno_economic_basis,lang_bibliography,lang_org_head,lang_executors
0222U000006_Head_ Holovach Tetiana M. . Deposition of strains .pdf,2022,uk,0222U000006,01-01-2022,відкрита,1,"Депонування штамів мікроорганізмів згідно ""Інструкції про порядок депонування в Україні 
 штамів мікроорганізмів з метою здійснення патентної процедури"" та дослідження їх вірулентності",10.2020,12.2020,Остаточний звіт,"Інститут мікробіології і вірусології ім. Д.К. Заболотного 
 Національної Академії Наук України",05417087,"вул. академіка Заболотного, буд. 54, м. Київ, Київська обл., 03143, Україна",Нацiональна академія наук України,"380445262379, 380445261179, 380445265578",,Львівський національний університет імені Івана Франка,02070987,"вул. Університетська, буд. 1, м. Львів, Львівська обл., 79000, Україна",Міністерство освіти і науки України,380322616048,"52 - договір з вітчизняною організацією (органами місцевої ради, 
 фондом, асоціацією, концерном тощо)",2.2 - прикладні дослідження і розробки,"7722 - кошти підприємств, установ, організацій України",,28.000,,,"Депонування штамів мікроорганізмів згідно ""Інструкції про порядок депонування в Україні штамів 
 мікроорганізмів з метою здійснення патентної процедури"" та дослідження їх вірулентності","Deposition of strains of microorganisms according to the ""Instruction on the procedure for deposition in Ukraine 
 of strains of microorganisms for the purpose of carrying out patent procedure"" and research of their virulence","Встановлена життєздатність, мікробіологічна чистота та досліджені морфолого-культуральні властивості 
 штамів мікроорганізмв, що є об""єктами угоди, проведена процедура депонування досліджених штамів 
 продуцентів","Viability, microbiologic purity, morphology culture conditions and others properties of strains microorganisms 
 which are objects of the contract is investigated, procedure of deposition of cultures is carried out",579.66,34.27.39,Головач Тетяна Миколаївна,,,,,"Депонування штамів мікроорганізмів згідно ""Інструкції про порядок 
 депонування в Україні штамів мікроорганізмів з метою здійснення патентної процедури"" та дослідження їх 
 вірулентності","Deposition of strains of microorganisms according to the ""Instruction on the 
 procedure for deposition in Ukraine of strains of microorganisms for the purpose of carrying out patent 
 procedure"" and research of their virulence",,,Нормативні документи,мікробіологія,,"Вивчені біологічні властивості наданих штамів, проведена процедура депонування 
 досліджених штамів","Вивчення біологічних властивостей поліпшує чистоту 
 культур штамів мікроорганізмів при подальшому їх використанні",,Впроваджено,,Ринки України та країн СНД,,,,,,,,Підгорський Валентин Степанович,"Бабіна Валентина Олександрівна
Головач Тетяна Миколаївна
(к. б. н.)
Грома Любов Іванівна
Жадовець Тетяна Андрієвна
Зирянова Людмила Федорівна",uk,uk,uk,uk,uk,uk,empty,uk,uk,uk,uk,uk,uk,uk,en,uk,en,uk,empty,empty,empty,uk,en,empty,empty,uk,uk,uk,uk,empty,uk,empty,uk,empty,empty,empty,empty,uk,uk
0222U000007_Head_ Huralskyy Illya O. . Spectrum heterometal co.pdf,2022,uk,0222U000007,01-01-2022,відкрита,3,Інтерпретація отриманих даних.,01.2021,12.2021,Остаточний звіт,"Київський національний університет імені Тараса 
 Шевченка",02070944,"вул. Володимирська, буд. 60, м. Київ, 01033, Україна",Міністерство освіти і науки України,380442393333,,Міністерство освіти і науки України,38621185,"проспект Перемоги, буд. 10, м. Київ, 01135, Україна",Кабінет Міністрів України,380444813221,"34 - договір (замовлення) з центральним органом виконавчої влади, 
 академією наук (головними розпорядниками бюджетних коштів на проведення НДДКР)",2.1 - фундаментальні дослідження,7713 - кошти держбюджету,2201040,838.700,,,"Гетерометальні комплекси зі спіновим переходом та їх композити як мультифункціональні матеріали- 
 перемикачі.",Spectrum heterometal complexes and their composites as multifunctional materials-switches.,"Об’єкт дослідження: Гетероціанометальні координаційні сполуки на основі феруму(ІІ), яким властиве явище 
 спінового переходу, композити на їх основі. Мета роботи: створення та дослідження властивостей нових 
 гетероціанометальних комплексів та матеріалів на їх основі з широким спектром характеристик спінового 
 переходу, пошук залежності між складом, будовою та функціональними властивостями досліджуваних 
 сполук. Методи дослідження: рентгенівська дифракція монокристалів та порошків, магнетометрія, оптична 
 мікроскопія, Мессбауерівська та ІЧ спектроскопія, калориметрія. Отримано нові ферумвмісні 
 ціаногетерометальні комплекси зі спіновим переходом на основі 1,6-нафтиридину складу [Fe(1,6- 
 naphthy)2(Ag(CN)2)2], на основі піридазину загальної формули [Fe(pdz)2M(CN)4] (де M = Ni, Pd, Pt), на основі 
 метилпіразину складу [Fe(Mepz)(Au(CN)2)2] і [Fe(Mepz)2(Ag(CN)2)2], на основі фталазину загальної формули 
 [Fe(phth)2M(CN)4] (де M = Pd, Pt), на основі 2-фенілпіразину (Phpz) загальної формули [Fe(Phpz)2{M(CN)2}2] 
 (де M = Ag, Au). Встановлено кристалічні структури усіх отриманих комплексів методом рентгенівської 
 дифракції. Проведення магнітних, оптичних та калориметричних досліджень підтвердили наявність 
 спінового переходу та дозволили визначити температури переходу та теплові ефекти. Було отримано та 
 досліджено композитні плівки зі спіновим переходом, яким властива бістабільність.","Object of research: Heterocyanometal coordination compounds based on iron (II), which are characterized by the 
 phenomenon of spin transition, composites based on them. Purpose: to create and study the properties of new 
 heterocyanometal complexes and materials based on them with a wide range of characteristics of the spin 
 transition, to find the relationship between the composition, structure and functional properties of the studied 
 compounds. Research methods: X-ray diffraction of single crystals and powders, magnetometry, optical 
 microscopy, Mössbauer and IR spectroscopy, calorimetry. New ferrous-containing cyanoheterometal complexes 
 with spin transition based on 1,6-naphthyridine composition [Fe-1,6-naphthy) 2 (Ag (CN (2) 2]), based on pyridazine 
 of general formula [Fe (pdz) 2M (CN) 4] (where M = Ni, Pd, Pt), based on methylpyrazine composition [Fe (Mepz) 
 (Au (CN) 2) 2] and [Fe (Mepz) 2] (Ag (CN) 2) 2], based on phthalazine of General formula [Fe (phth) 2M (CN) 4] 
 (where M = Pd, Pt), based on 2-phenylpyrazine (Phpz) of General formula [Fe (Phpz) 2 {M (CN) 2} 2] (where M = Ag, 
 Au). Crystal structures of all complexes obtained by X - ray diffraction were established. Conducting magnetic, 
 optical and calorimetric studies have confirmed the presence of a spin transition and allowed to determine the 
 transition temperature and thermal effects. It was obtained and studied composite films with a spin transition, 
 which is characterized by bistability.",54-386,31.17.29,Гуральський Ілля Олександрович,к. х. н.,с.н.с.,,,,,,,,,,,,,,,,,,,,,,"Статті у журналах, що входять до наукометричних баз даних - 18; статті у журналах, що входять до переліку 
 фахових видань України, статті у закордонних журналах - 7; монографії та/або розділи монографій, що 
 опубліковані українськими видавництвами державною мовою - 1; монографії та/або розділи монографій, що 
 опубліковані за темою проекту у закордонних виданнях мовами країн, які входять до ОЕСР - 2.",Толстанова Ганна Миколаївна,"Бібік Юрій Микитович
Гіюк Володимир Миколайович
Наумова Діна Дмитрівна
(к. х. н.)
Парцевська Софія Василівна
(к. х. н.)
Сіренко Валерій Юрійович",uk,uk,uk,uk,uk,uk,empty,uk,uk,uk,uk,uk,uk,uk,en,uk,en,uk,uk,uk,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,uk,uk,uk
0222U000008_Head_ Inshun Mukolay I. . Legal model of social an.pdf,2022,uk,0222U000008,01-01-2022,відкрита,1,"Ідентифікація та оцінювання ризиків, загроз еколого-правового характеру в Україні. Правова 
 модель соціально-екологічної безпеки та проблеми законодавчого її забезпечення.",05.2021,12.2021,Остаточний звіт,"Київський національний університет імені Тараса 
 Шевченка",02070944,"вул. Володимирська, буд. 60, м. Київ, 01033, Україна",Міністерство освіти і науки України,380442393333,,Національний фонд досліджень України,42734019,"вул. Бориса Грінченка, 1, м. Київ, 01001, Україна",Кабінет Міністрів України,"380442981622, 380442981622","34 - договір (замовлення) з центральним органом виконавчої влади, 
 академією наук (головними розпорядниками бюджетних коштів на проведення НДДКР)",2.1 - фундаментальні дослідження,7713 - кошти держбюджету,2201300,1471.522,,,Правова модель соціально-екологічної безпекової доктрини України.,Legal model of social and ecological security doctrine of Ukraine.,"Об`єкт дослідження – є юридична конструкція моделі безпеки праворегулятивних механізмів в екологічному 
 та соціальному праві України на рівні правової доктрини. Предмет дослідження – є правова модель 
 соціально-екологічної безпекової доктрини України. Мета дослідження – дослідити модель соціально- 
 екологічної безпекової доктрини в Україні. Методика дослідження – становить сукупність прийомів та 
 способів стосовно аналізу соціально-екологічного безпекового сектору формування та дії безпекової моделі 
 в екологічному та соціальному праві. Результати та їх очікувана новизна – полягають у проведенні (а)трилогії 
 монографічного дослідження та опублікування її у 3-х томах, а також в (б)напрацюванні змін до 
 законодавства у формі окремого Законопроекту. Зокрема, за результатами проведеного монографічного 
 дослідження проблем моделі соціально-екологічної безпекової доктрини, в 2ЕВП були отримані наступні 
 результати, посеред яких, слід виділити наступні: (І)вперше – запропоновано: (1)елементами змісту форми 
 моделі соціально-екологічної безпеки права вважати наявність: (1.1.)стадій, посеред яких виділити: стадію 
 (а)формування у нормах права моделі поведінки та певного еталона вирішення юридичних конфліктів; 
 стадію (б)встановлення соціальноекологічних правовідносин, які скеровані на виявлення та нейтралізації 
 кризових, небезпечних та ризикових факторів; а також, такі елементи змісту форми як наявність (1.2.)засобів 
 реалізації безпеки. Такі полягають у припиненні/нейтралізації або мінімізації дій та бездіяльності стосовно 
 13 соціальних та екологічних ризиків індивідуальним чи то колективним шляхом; (1.3.)способи реалізації у 
 секторі безпеки, якими є певні правові форми: адміністративна форма; судова форма; громадська форма; 
 третейська; міжнародно-правова (Т.1); вважати залежність (2)ефективності «соціально-екологічної 
 безпекової моделі права» від питань належності та пропорційності юридичних процедур у 
 праворегулюятивному механізмі.","The object of research - is the legal construction of the model of security of regulatory mechanisms in 
 environmental and social law of Ukraine at the level of legal doctrine. The subject of research is the legal model of 
 social and ecological security doctrine of Ukraine. The purpose of the study is to investigate the model of social 
 and environmental security doctrine in Ukraine. Research methodology - is a set of techniques and methods for 
 analyzing the social and environmental security sector of the formation and operation of the security model in 
 environmental and social law. The results and their expected novelty are to conduct (a) a trilogy of monographic 
 research and publish it in 3 volumes, as well as to (b) develop amendments to the legislation in the form of a 
 separate draft law. In particular, according to the results of the monographic study of the problems of the model of 
 social and environmental safety doctrine, the following results were obtained in 2EVP, among which the following 
 should be highlighted: (I) for the first time - proposed: (1) elements of the content of the form of the model of social 
 and environmental security of the law to consider the presence of: (1.1.) Stages, among which are: stage (a) 
 formation in the law of conduct and a certain standard for resolving legal conflicts; stage (b) the establishment of 
 social and environmental legal relations, which are aimed at identifying and neutralizing crisis, dangerous and risk 
 factors; as well as such elements of the content of the form as the presence (1.2.) of means of implementing 
 security. These are the cessation / neutralization or minimization of actions and omissions in relation to 13 social 
 and environmental risks individually or collectively; (1.3.) Ways of implementation in the security sector, which are 
 certain legal forms: administrative form; court form; public uniform; arbitration; international law (Vol. 1);",349.3,10.67,Іншин Микола Іванович,д. ю. н.,професор,,,"Правова модель соціально-екологічної безпеки на рівні правової доктрини та 
 пропозиції до чинного законодавства .","Legal model of social and environmental security at the level of legal doctrine and 
 proposals for current legislation.",,,Методологічні та науково-практичні рекомендації,72. Наукові дослідження та разробки,,"У теоретичному аспекті: сформовано правову модель соціально-екологічної безпеки на рівні 
 правової доктрини, яка утворила комплексну, міждисциплінарну, міжгалузеву юридичну конструкцію, що 
 дозволила забезпечити системне регулювання соціальних та екологічних правовідносин стосовно 
 виявлення, оцінки, аналізу та протидії екологічних та соціальних ризиків, небезпек та загроз; у практичному 
 аспекті: напрацьовані пропозиції до чинного законодавства дозволяють мінімізувати а подекуди 
 нейтралізувати екологічні та соціальні ризики, небезпеки та загрози, у сунути прогалини чинного 
 законодавства в контексті захисту та охорони соціальних прав, забезпечити реалізацію норм міжнародного 
 публічного права шляхом імплементації європейських стандартів в контексті сталого розвитку.","Забезпечення промисловості чи населення новим 
 видом інформаційно-комунікаційних послуг",,Не впроваджено,,,,,,,,,,Толстанова Ганна Миколаївна,"Балюк Галина Іванівна
(д. ю. н., 12.00.06)
Власенко Юлія Леонідівна
(к. ю. н.)
Кайда Наталія Ярославівна
(д. ю. н., 12.00.01)
Ковальчук Тетяна Григорівна
(к. ю. н., 12.00.06)
Мельник Ярослав Ярославович
(д. ю. н.)
Позняк Еліна Владиславівна
(к. ю. н.)
Силантієва Інна Василівна
Слепченко Анжела Анатоліївна
(к. ю. н.)
Сіроха Дмитро Ігоревич
(к. ю. н., 12.00.05)
Черноус Світлана Миколаївна
(к. ю. н., 12.00.05)
Шараєвська Тетяна Анатоліївна
(к. ю. н., 12.00.06)
Шоха Тетяна Петрівна
(к. ю. н.)",uk,uk,uk,uk,uk,uk,empty,uk,uk,uk,uk,uk,uk,uk,en,uk,en,uk,uk,uk,empty,uk,en,empty,empty,uk,uk,uk,uk,empty,uk,empty,empty,empty,empty,empty,empty,uk,uk
0222U000009_Head_ Tananaiko Oksana Yu. . Use of electrochemica.pdf,2022,uk,0222U000009,01-01-2022,відкрита,1,"Електрохімічні і флуоресцентні характеристики гелей альгінату у відсутності та у 
 присутності іммобілізованих біомолекул та клітин.",11.2021,12.2021,Остаточний звіт,"Київський національний університет імені Тараса 
 Шевченка",02070944,"вул. Володимирська, буд. 60, м. Київ, 01033, Україна",Міністерство освіти і науки України,380442393333,,Міністерство освіти і науки України,38621185,"проспект Перемоги, буд. 10, м. Київ, 01135, Україна",Кабінет Міністрів України,380444813221,"34 - договір (замовлення) з центральним органом виконавчої влади, 
 академією наук (головними розпорядниками бюджетних коштів на проведення НДДКР)",2.2 - прикладні дослідження і розробки,7713 - кошти держбюджету,2201380,100.000,,,"Використання електрохімічних біосенсорів та флуоресцентних зондів для аналізу та вдосконалення 3D 
 біодрукованих тканинних конструкцій","Use of electrochemical biosensors and fluorescent probes for analysis and improvement of 3D bioprinted tissue 
 structures","Об´єкти дослідження – розчини, золі та гідрогелі альгінату натрію з біомолекулами і клітинами; асоціація 
 іонних та неіонних поверхнево-активних речовин з флюоресцентним реагентом еозином Н в альгінат- 
 структурованому середовищі. Мета роботи – розробка методик вимірювання електрохімічних і 
 флюоресцентних характеристик розчинів, золей і гідрогелей альгінату за відсутності та у присутності 
 біомолекул і клітин; розробка зондів на основі асоціатів органічних реагентів з іонними та неіонними 
 поверхнево-активними речовинами в альгінат-структурованому середовищі для дослідження 
 флюоресцентних, спектрофотометричних і кольорометричних характеристик іммобілізованих у гелі 
 альгінату біомолекул й клітин. Методи дослідження – циклічна вольтамперометрія, електрохімічна 
 імпедансна спектросокпія, флюоресценція, спектрофотометрія, кольорометрія Вимірювання 
 електрохімічних характеристик розчинів і гелей проводили з викорстанням потенціостату фірми РalmSens 
 (Нідерланди) з використанням триелектродної комірки на основі друкованих планарних електродів (ДПЕ); 
 аналітичний сигнал ПАР у реакції з органічними реагентами у роботі оцінювали методами флюоресценції, 
 спектрофотометрії та кольорометрії. Оцінку колоїдно-хімічних властивостей розчинів асоціатів реагент-ПАР 
 здійснювали методом турбідиметрії. Контроль кислотності середовища в експерименті здійснювали 
 методом рН-потенціометрії. Досліджено електрохімічні, а також флюоресцентні характеристики гелей 
 альгінату у відсутності та у присутності біомолекул та клітин. Електрохімічні дослідження проводилися з 
 використанням друкованих планарних електродів. Робочими були вуглецевий, платиновий або золотий 
 електроди. Досліджено циклічні вольтамперограми поживного середовища для клітин. Доведено, що 
 циклічна вольтамперометрія дозволяє виявити електроактивні сполуки поживного розчину, проте після 
 контакту клітин з поживним середовищем змін у концентрації його електроактивних компонентів не 
 спостерігається.","Objects of research - solutions, sols and hydrogels of sodium alginate with biomolecules and cells; association of 
 ionic and nonionic surfactants with fluorescent reagent eosin H in alginate-structured medium. The purpose of 
 the work - to develop methods for measuring the electrochemical and fluorescent characteristics of solutions, sols 
 and hydrogels of alginate in the absence and in the presence of biomolecules and cells; development of probes 
 based on associations of organic reagents with ionic and nonionic surfactants in alginate-structured medium for 
 the study of fluorescent, spectrophotometric and colorimetric characteristics of biomolecules and cells 
 immobilized in alginate gel. Research methods - cyclic voltammetry, electrochemical impedance spectroscopy, 
 fluorescence, spectrophotometry, colorimetry. Measurements of electrochemical characteristics of solutions and 
 gels were performed using a potentiostat from PalmSens (Netherlands) using a three-electrode cell based on 
 printed planar electrodes (DPE); the analytical signal of the surfactant in the reaction with organic reagents in the 
 work was evaluated by fluorescence, spectrophotometry and colorimetry. Evaluation of the colloid-chemical 
 properties of reagent-surfactant associate solutions was performed by turbidimetry. Control of the acidity of the 
 medium in the experiment was carried out by pH potentiometry. The electrochemical and fluorescent 
 characteristics of alginate gels in the absence and in the presence of biomolecules and cells were studied.
Electrochemical studies were performed using printed planar electrodes. Carbon, platinum or gold electrodes 
 were working. Cyclic voltammograms of the nutrient medium for cells have been studied. It has been proved that 
 cyclic voltammetry allows to detect electroactive compounds of nutrient solution, but after contact of cells with 
 nutrient medium changes in the concentration of its electroactive components are not observed.",547.9;577.1,31.23,Тананайко Оксана Юріївна,к. х. н.,доц.,,,Методики детектування кількості клітин у гелі альгінату,Methods for detecting the number of cells in the alginate gel,,,Вольтамперометричні методики,72. Наукові дослідження та разробки,,"Досліджено флюоресцентні, спектрофотометричні та кольорометричні характеристики 
 індивідуальних розчинів еозину Н та асоціатів реагенту з катіонними й неіонними субстратами у водних 
 середовищах структурованих альгінатом. Встановлено, що в альгінат-структурованому середовищі еозин Н 
 не втрачає чутливості щодо флюоресцентного визначення катіонних субстратів. Показано, що 
 структурування середовища альгінатом дає можливість створювати аналітичні системи для 
 флюоресцентного визначення мікрокількостей неіонних субстратів, на відміну від відповідних водних 
 розчинів. Зареєстровано підсилення сольватохромних властивостей еозину Н та підвищення чутливості 
 спектрофотометричного визначення катіонних субстратів у реакції з реагентом в альгінат-структурованих 
 системах. Показано збільшення аналітичного сигналу неіонних субстратів у реакції з еозином Н та, 
 відповідно, підвищення чутливості їх спектрофотометричного визначення у середовищах структурованих 
 альгінатом. Зафіксовано покращення якості кольорометричного аналітичного сигналу катіонних субстратів у 
 досліджених системах за рахунок альгінату. Встановлено, що структурування середовища альгінатом 
 покращує відтворюваність кольорометричного визначення сполук катіонної природи та підвищує чутливість 
 такої системи по відношенню до неіонних субстратів. Методом спектру каламутності оцінено колоїдно- 
 хімічні показники досліджуваної альгінат-структурованої системи еозин Н – катіонна поверхнево-активна 
 речовина та їх вплив на аналітичний сигнал останньої. Показано покращення метрологічних параметрів 
 визначення катіонних та неіонних субстратів з еозином Н фотометричним та кольорометричним методами 
 за рахунок зменшення розміру утворюваних в альгінатному середовищі гідрофобних асоціатів до 
 псевдомолекулярного стану системи.","Створення принципово нової продукції (матеріалів, 
 технологій тощо) для забезпечення експортного потенціалу та заміщенню імпорту",,Не впроваджено,,,,,,,,,,Толстанова Ганна Миколаївна,"Кловак Вікторія Олегівна
Саська Віта Валеріївна",uk,uk,uk,uk,uk,uk,empty,uk,uk,uk,uk,uk,uk,uk,en,uk,en,uk,uk,uk,empty,uk,en,empty,empty,uk,uk,uk,uk,empty,uk,empty,empty,empty,empty,empty,empty,uk,uk
